reaction,n,PRR,ROR,ROR_IC95_low,ROR_IC95_high,Chi2,signal_confirmed
Blood alkaline phosphatase increased,59,0.479,0.479,0.37,0.621,29.9,False
Product temperature excursion issue,54,0.478,0.478,0.364,0.627,27.64,False
Menopausal symptoms,13,0.478,0.478,0.275,0.831,6.65,False
Therapeutic response delayed,9,0.477,0.477,0.245,0.928,4.62,False
Escherichia infection,43,0.477,0.477,0.352,0.646,22.14,False
Reflux gastritis,5,0.476,0.476,0.195,1.162,2.58,False
Neoplasm malignant,225,0.475,0.475,0.416,0.542,117.07,False
Respiratory symptom,38,0.475,0.475,0.344,0.657,19.72,False
Spinal fracture,92,0.474,0.474,0.385,0.583,48.17,False
Weight fluctuation,162,0.473,0.473,0.404,0.553,85.3,False
Eye pain,242,0.473,0.473,0.416,0.538,127.26,False
Metastases to bone,81,0.472,0.472,0.378,0.589,42.89,False
Onychomycosis,31,0.47,0.47,0.328,0.672,16.64,False
Thoracic vertebral fracture,14,0.47,0.47,0.275,0.8,7.52,False
Arthropod sting,13,0.469,0.468,0.269,0.815,7.03,False
Neurodegenerative disorder,3,0.466,0.466,0.147,1.474,1.65,False
Lyme disease,21,0.466,0.466,0.301,0.72,11.53,False
Rash macular,159,0.465,0.465,0.397,0.544,87.83,False
Catheter site erythema,16,0.464,0.464,0.282,0.764,8.89,False
Eye allergy,8,0.464,0.464,0.229,0.939,4.45,False
Osteoporotic fracture,8,0.464,0.464,0.229,0.939,4.45,False
Beta haemolytic streptococcal infection,5,0.463,0.463,0.19,1.129,2.8,False
Osteoporosis,159,0.462,0.462,0.395,0.541,89.14,False
Herpes zoster disseminated,4,0.462,0.462,0.17,1.252,2.25,False
Hyperthyroidism,52,0.462,0.462,0.35,0.609,29.26,False
Epstein-Barr virus infection reactivation,11,0.46,0.46,0.252,0.839,6.26,False
Lip swelling,89,0.459,0.459,0.371,0.567,50.99,False
Intraductal proliferative breast lesion,4,0.458,0.458,0.169,1.241,2.31,False
Joint swelling,550,0.458,0.457,0.42,0.498,317.22,False
Pulmonary embolism,209,0.458,0.457,0.398,0.525,120.54,False
Eructation,89,0.457,0.457,0.37,0.564,51.54,False
Deafness unilateral,20,0.456,0.456,0.292,0.712,11.64,False
Femur fracture,68,0.455,0.455,0.358,0.58,39.74,False
Precancerous condition,7,0.454,0.454,0.214,0.965,4.12,False
Hand-foot-and-mouth disease,10,0.453,0.453,0.241,0.851,5.93,False
Feeling drunk,18,0.452,0.452,0.282,0.722,10.76,False
Muscular weakness,399,0.452,0.451,0.408,0.499,238.45,False
Procedural haemorrhage,20,0.451,0.451,0.289,0.705,11.97,False
Exposure via breast milk,18,0.451,0.451,0.282,0.721,10.82,False
Diverticulum intestinal haemorrhagic,7,0.45,0.45,0.212,0.956,4.23,False
Butterfly rash,3,0.45,0.45,0.142,1.422,1.81,False
General physical health deterioration,546,0.449,0.448,0.411,0.488,332.19,False
Vision blurred,414,0.446,0.445,0.404,0.491,256.53,False
Influenza A virus test positive,4,0.446,0.446,0.165,1.208,2.47,False
Faecal calprotectin abnormal,3,0.445,0.445,0.141,1.406,1.87,False
Connective tissue disorder,6,0.445,0.445,0.197,1.003,3.74,False
Nervous system disorder,59,0.444,0.444,0.343,0.576,36.81,False
Bipolar disorder,23,0.442,0.442,0.292,0.67,14.56,False
Keratoacanthoma,3,0.44,0.44,0.139,1.39,1.92,False
Bladder dysfunction,3,0.44,0.44,0.139,1.39,1.92,False
Haemorrhagic disorder,3,0.44,0.44,0.139,1.39,1.92,False
Cerebrovascular accident,351,0.439,0.438,0.394,0.487,226.67,False
Ovarian cancer,16,0.439,0.439,0.267,0.723,10.28,False
Blood sodium decreased,65,0.439,0.439,0.343,0.562,41.83,False
Cholecystitis,42,0.439,0.439,0.323,0.598,26.99,False
Incorrect drug administration rate,66,0.439,0.439,0.344,0.561,42.49,False
Staphylococcal infection,106,0.438,0.438,0.361,0.531,68.84,False
Sleep disorder,316,0.437,0.437,0.39,0.488,206.11,False
Multiple sclerosis,121,0.436,0.435,0.363,0.522,79.53,False
Psoriasis,353,0.436,0.435,0.391,0.484,232.0,False
Gastrointestinal haemorrhage,144,0.435,0.435,0.369,0.514,94.72,False
Flushing,223,0.433,0.433,0.379,0.495,148.68,False
Type 2 diabetes mellitus,143,0.432,0.432,0.366,0.511,95.76,False
Diabetes mellitus inadequate control,45,0.432,0.432,0.321,0.581,30.27,False
Skin lesion,104,0.431,0.431,0.355,0.524,70.07,False
Breath sounds abnormal,35,0.431,0.431,0.308,0.603,23.67,False
Breast abscess,3,0.43,0.43,0.136,1.358,2.04,False
Vitreous detachment,6,0.43,0.43,0.191,0.97,4.07,False
Protein urine present,20,0.429,0.429,0.275,0.67,13.66,False
Localised oedema,15,0.429,0.429,0.257,0.718,10.24,False
Neurological symptom,23,0.429,0.429,0.283,0.649,15.75,False
Lip blister,8,0.428,0.428,0.212,0.865,5.51,False
Tibia fracture,14,0.424,0.424,0.249,0.722,9.87,False
Peritonitis,43,0.424,0.424,0.313,0.575,30.21,False
Drug level above therapeutic,21,0.421,0.421,0.273,0.65,15.06,False
Vascular rupture,3,0.421,0.421,0.133,1.329,2.15,False
Infusion site discolouration,12,0.421,0.421,0.237,0.748,8.61,False
Eosinophilic oesophagitis,41,0.418,0.418,0.306,0.57,29.92,False
Respiratory rate decreased,29,0.417,0.417,0.288,0.603,21.32,False
Infusion site haemorrhage,83,0.417,0.417,0.335,0.518,61.02,False
Ocular hyperaemia,179,0.417,0.417,0.359,0.484,131.02,False
Injection site reaction,189,0.416,0.415,0.359,0.48,139.86,False
Hernia pain,5,0.415,0.415,0.171,1.012,3.7,False
Gingival bleeding,45,0.413,0.413,0.307,0.556,33.71,False
Cerebral haemorrhage,82,0.413,0.413,0.331,0.514,61.63,False
Hyperlipidaemia,27,0.413,0.413,0.281,0.606,20.29,False
Actinic keratosis,7,0.413,0.413,0.195,0.877,5.25,False
Infusion related hypersensitivity reaction,5,0.413,0.413,0.169,1.006,3.76,False
Vestibular neuronitis,3,0.412,0.412,0.131,1.3,2.27,False
Monoplegia,11,0.412,0.412,0.226,0.752,8.29,False
Electrocardiogram abnormal,19,0.412,0.412,0.261,0.651,14.32,False
Neuritis,11,0.412,0.412,0.226,0.752,8.29,False
Paraesthesia oral,43,0.412,0.412,0.304,0.558,32.45,False
Muscle discomfort,4,0.411,0.411,0.152,1.112,3.04,False
Lymphocyte count decreased,61,0.411,0.411,0.319,0.531,46.29,False
Body mass index increased,7,0.41,0.41,0.193,0.869,5.37,False
Endotracheal intubation complication,5,0.41,0.41,0.168,0.999,3.82,False
Cardiac failure congestive,97,0.41,0.41,0.335,0.502,74.13,False
Peripheral coldness,49,0.41,0.41,0.309,0.545,37.39,False
Sinus node dysfunction,6,0.41,0.41,0.182,0.924,4.59,False
Liver function test abnormal,38,0.409,0.409,0.296,0.565,29.22,False
Choking,65,0.409,0.409,0.32,0.524,49.97,False
Dysphonia,222,0.409,0.408,0.357,0.467,171.18,False
Metastasis,22,0.409,0.409,0.267,0.625,16.93,False
Slow response to stimuli,3,0.408,0.408,0.129,1.286,2.33,False
Confusional state,415,0.408,0.408,0.37,0.449,320.94,False
Laryngeal dyskinesia,3,0.408,0.408,0.129,1.286,2.33,False
Depression,494,0.408,0.408,0.373,0.446,381.41,False
Hyperkeratosis,17,0.407,0.407,0.251,0.659,13.23,False
Conjunctivitis,82,0.406,0.405,0.325,0.505,64.37,False
Listless,8,0.406,0.406,0.201,0.821,6.26,False
Foetal death,18,0.404,0.404,0.253,0.646,14.24,False
Tremor,406,0.403,0.402,0.365,0.444,323.84,False
Somnolence,590,0.403,0.402,0.37,0.436,470.89,False
Dyspnoea,1827,0.403,0.401,0.383,0.421,1451.8,False
Ejaculation failure,3,0.403,0.403,0.128,1.273,2.38,False
Paradoxical drug reaction,12,0.402,0.402,0.227,0.715,9.59,False
Pathological fracture,11,0.402,0.402,0.221,0.732,8.82,False
Weight loss poor,21,0.401,0.401,0.26,0.619,16.92,False
Infusion site swelling,132,0.401,0.401,0.337,0.476,106.52,False
Bursitis,88,0.4,0.4,0.324,0.495,71.25,False
Infusion site discomfort,25,0.398,0.398,0.267,0.592,20.55,False
Pancreatic carcinoma,33,0.398,0.398,0.282,0.563,27.04,False
Hepatic encephalopathy,21,0.396,0.396,0.256,0.611,17.45,False
Gait disturbance,535,0.396,0.396,0.363,0.431,443.32,False
Cardiac ventricular thrombosis,11,0.396,0.396,0.218,0.722,9.11,False
Prostatic disorder,12,0.395,0.395,0.223,0.702,10.0,False
Oral discomfort,36,0.395,0.395,0.284,0.551,30.01,False
Corneal disorder,5,0.395,0.395,0.162,0.962,4.17,False
Glycosuria,3,0.395,0.395,0.125,1.247,2.5,False
Uterine prolapse,3,0.395,0.395,0.125,1.247,2.5,False
Blood blister,9,0.394,0.394,0.203,0.765,7.56,False
Axillary pain,5,0.393,0.393,0.161,0.957,4.23,False
Amnesia,152,0.393,0.393,0.334,0.462,128.38,False
Musculoskeletal stiffness,282,0.393,0.393,0.349,0.443,237.82,False
Type IV hypersensitivity reaction,8,0.392,0.392,0.194,0.793,6.79,False
Weight bearing difficulty,7,0.392,0.392,0.185,0.831,5.95,False
Renal failure,226,0.392,0.392,0.344,0.448,191.67,False
Splenomegaly,38,0.391,0.391,0.283,0.54,32.45,False
Nasal inflammation,5,0.391,0.391,0.16,0.951,4.29,False
Uterine cyst,3,0.391,0.391,0.124,1.234,2.56,False
Alopecia,484,0.391,0.39,0.356,0.427,414.64,False
Glucose urine present,5,0.391,0.391,0.16,0.951,4.29,False
Eosinophil count increased,30,0.39,0.39,0.271,0.56,25.84,False
Streptococcus test positive,5,0.388,0.388,0.16,0.945,4.35,False
Skin laceration,83,0.387,0.387,0.311,0.481,72.7,False
Eyelid rash,5,0.386,0.386,0.159,0.939,4.41,False
Oesophageal varices haemorrhage,5,0.384,0.384,0.158,0.934,4.47,False
Hypertensive crisis,23,0.384,0.384,0.254,0.582,20.48,False
Arthritis infective,20,0.384,0.384,0.246,0.599,17.8,False
Duodenal ulcer,17,0.384,0.384,0.237,0.623,15.12,False
Tooth discolouration,6,0.384,0.384,0.17,0.864,5.36,False
Prostatic specific antigen increased,34,0.383,0.383,0.272,0.539,30.48,False
Embolism,15,0.382,0.382,0.229,0.639,13.52,False
Dysphagia,264,0.381,0.381,0.337,0.43,239.43,False
Bacterial infection,80,0.38,0.38,0.304,0.474,73.12,False
Hypopnoea,15,0.38,0.38,0.227,0.635,13.7,False
Fistula discharge,7,0.379,0.379,0.179,0.803,6.43,False
Lumbar vertebral fracture,18,0.379,0.379,0.237,0.605,16.55,False
Swollen tongue,65,0.378,0.378,0.296,0.484,59.91,False
Dermatitis acneiform,18,0.377,0.377,0.236,0.602,16.73,False
Blood creatinine increased,155,0.376,0.376,0.32,0.441,144.78,False
Vulvovaginal candidiasis,6,0.375,0.375,0.166,0.843,5.66,False
Food allergy,62,0.375,0.375,0.292,0.483,58.19,False
Hepatic failure,61,0.374,0.374,0.29,0.482,57.84,False
Graves' disease,15,0.373,0.373,0.223,0.623,14.3,False
Acidosis,19,0.372,0.372,0.236,0.587,18.17,False
Immunosuppression,30,0.371,0.371,0.258,0.533,28.9,False
Essential hypertension,6,0.371,0.371,0.165,0.835,5.78,False
Lung disorder,203,0.37,0.37,0.321,0.425,196.93,False
Catheter site pain,20,0.37,0.37,0.237,0.577,19.37,False
Herpes virus infection,17,0.369,0.369,0.228,0.598,16.57,False
Injection site inflammation,15,0.369,0.369,0.221,0.616,14.66,False
Rash erythematous,190,0.369,0.368,0.319,0.425,185.69,False
Hypothyroidism,105,0.369,0.369,0.304,0.448,102.08,False
Optic neuritis,19,0.368,0.368,0.233,0.581,18.59,False
Fear of death,7,0.368,0.368,0.174,0.78,6.85,False
Suffocation feeling,6,0.367,0.367,0.163,0.827,5.9,False
Fear of disease,3,0.366,0.366,0.116,1.152,2.98,False
Cholecystitis acute,13,0.366,0.366,0.211,0.636,12.88,False
Arterial occlusive disease,18,0.366,0.366,0.229,0.584,17.88,False
Tenosynovitis,5,0.366,0.366,0.151,0.891,4.95,False
Blood glucose decreased,90,0.364,0.364,0.295,0.448,90.51,False
Lymphoedema,25,0.364,0.364,0.245,0.542,25.04,False
Myocarditis,51,0.364,0.364,0.276,0.481,51.16,False
Keratitis,8,0.364,0.364,0.18,0.734,8.05,False
Skin hyperpigmentation,16,0.363,0.363,0.221,0.597,16.16,False
Hypoglycaemia,96,0.363,0.363,0.297,0.445,96.72,False
Trichorrhexis,5,0.362,0.362,0.149,0.881,5.07,False
Renal injury,22,0.361,0.361,0.237,0.552,22.43,False
Paranasal sinus hypersecretion,13,0.36,0.36,0.208,0.625,13.36,False
Metastases to spine,11,0.36,0.36,0.198,0.655,11.33,False
Disseminated tuberculosis,6,0.359,0.359,0.16,0.808,6.2,False
Rotator cuff syndrome,38,0.357,0.357,0.259,0.493,39.81,False
Epistaxis,222,0.356,0.356,0.311,0.407,233.62,False
Erythema,530,0.356,0.355,0.326,0.387,559.19,False
Craniofacial fracture,15,0.355,0.354,0.212,0.592,15.94,False
Limb discomfort,96,0.354,0.354,0.289,0.433,102.4,False
Sternal fracture,4,0.353,0.353,0.131,0.952,4.3,False
Brain neoplasm malignant,5,0.353,0.353,0.145,0.857,5.37,False
Nutritional condition abnormal,4,0.353,0.353,0.131,0.952,4.3,False
Ocular discomfort,50,0.353,0.353,0.266,0.467,53.75,False
Deafness bilateral,4,0.353,0.353,0.131,0.952,4.3,False
Cognitive disorder,124,0.353,0.353,0.295,0.422,132.81,False
Formication,9,0.352,0.352,0.181,0.682,9.74,False
Snoring,18,0.352,0.352,0.22,0.561,19.47,False
Product dispensing error,91,0.352,0.352,0.286,0.433,98.19,False
Exercise tolerance decreased,19,0.351,0.351,0.222,0.553,20.67,False
Micturition disorder,9,0.35,0.35,0.181,0.68,9.8,False
Hidradenitis,58,0.346,0.345,0.266,0.448,65.06,False
Bone pain,166,0.346,0.346,0.296,0.403,185.6,False
Macular hole,3,0.346,0.346,0.11,1.09,3.35,False
Derealisation,6,0.346,0.346,0.154,0.779,6.7,False
Hearing aid user,5,0.345,0.345,0.142,0.839,5.62,False
Muscle atrophy,43,0.344,0.344,0.254,0.466,48.57,False
Mouth injury,9,0.343,0.343,0.177,0.665,10.23,False
Cutaneous vasculitis,17,0.342,0.342,0.211,0.553,19.51,False
Panic reaction,15,0.342,0.342,0.205,0.571,17.17,False
Multiple allergies,89,0.341,0.341,0.276,0.421,102.41,False
Skin discolouration,114,0.341,0.341,0.283,0.411,131.26,False
Mydriasis,28,0.34,0.34,0.234,0.495,32.45,False
Mean cell haemoglobin concentration decreased,6,0.339,0.339,0.151,0.762,7.01,False
Oedema peripheral,254,0.338,0.338,0.298,0.382,298.16,False
Red blood cell count increased,10,0.338,0.338,0.18,0.633,11.74,False
Pericarditis,105,0.338,0.338,0.278,0.41,123.14,False
Endocrine ophthalmopathy,9,0.337,0.337,0.174,0.654,10.6,False
Catheter site swelling,12,0.337,0.337,0.19,0.598,14.14,False
Pulmonary cavitation,3,0.337,0.337,0.107,1.061,3.53,False
Retinal tear,7,0.336,0.336,0.159,0.711,8.33,False
Eye haemorrhage,29,0.335,0.334,0.231,0.484,34.77,False
Blood magnesium increased,3,0.335,0.335,0.106,1.052,3.6,False
Carotid artery occlusion,9,0.334,0.334,0.172,0.646,10.85,False
Sciatica,78,0.334,0.334,0.267,0.418,93.7,False
Visual impairment,340,0.334,0.334,0.299,0.371,408.94,False
Walking disability,4,0.332,0.332,0.123,0.897,4.86,False
Tongue discolouration,4,0.332,0.332,0.123,0.897,4.86,False
Oral mucosal blistering,13,0.331,0.331,0.191,0.574,15.9,False
Blood testosterone decreased,10,0.331,0.331,0.177,0.62,12.24,False
Radius fracture,4,0.33,0.33,0.122,0.891,4.92,False
Cardiomegaly,18,0.328,0.327,0.205,0.523,22.52,False
Blood calcium increased,25,0.327,0.327,0.22,0.487,31.29,False
Intracranial pressure increased,12,0.327,0.327,0.184,0.58,15.08,False
Device malfunction,255,0.326,0.325,0.287,0.368,322.57,False
Parkinson's disease,51,0.326,0.326,0.247,0.431,64.34,False
Blood disorder,17,0.326,0.326,0.201,0.527,21.51,False
Red cell distribution width increased,14,0.325,0.325,0.191,0.552,17.79,False
Skull fracture,4,0.324,0.324,0.12,0.874,5.11,False
Glossitis,7,0.324,0.324,0.153,0.686,8.96,False
Drug specific antibody present,17,0.322,0.322,0.199,0.521,22.01,False
Gingival recession,4,0.322,0.322,0.119,0.869,5.17,False
Catarrh,9,0.322,0.322,0.166,0.623,11.67,False
Blindness transient,15,0.321,0.321,0.192,0.535,19.55,False
Gallbladder enlargement,3,0.321,0.321,0.102,1.009,3.91,False
Eczema eyelids,4,0.32,0.32,0.119,0.863,5.24,False
Blood thyroid stimulating hormone increased,19,0.32,0.32,0.203,0.505,24.85,False
Infarction,6,0.317,0.317,0.141,0.712,8.01,False
Coronary artery stenosis,7,0.317,0.317,0.15,0.671,9.34,False
Upper respiratory tract inflammation,3,0.316,0.316,0.1,0.992,4.04,False
Hepatitis cholestatic,13,0.316,0.316,0.183,0.548,17.41,False
Liver transplant rejection,3,0.316,0.316,0.1,0.992,4.04,False
Bone contusion,7,0.316,0.316,0.149,0.669,9.4,False
Genital ulceration,5,0.314,0.314,0.129,0.761,6.81,False
Face oedema,28,0.314,0.314,0.216,0.456,38.16,False
Lung opacity,17,0.314,0.314,0.194,0.507,23.15,False
Gallbladder rupture,3,0.313,0.313,0.1,0.984,4.1,False
Central nervous system infection,3,0.313,0.313,0.1,0.984,4.1,False
Hypotension,409,0.313,0.313,0.284,0.345,558.47,False
Product preparation error,78,0.313,0.313,0.25,0.392,106.67,False
Tympanic membrane perforation,7,0.313,0.313,0.148,0.662,9.59,False
Catheter site pruritus,4,0.312,0.312,0.116,0.842,5.49,False
Post herpetic neuralgia,4,0.312,0.312,0.116,0.842,5.49,False
Skin irritation,66,0.311,0.311,0.243,0.396,91.61,False
Ocular hypertension,5,0.311,0.311,0.128,0.754,6.94,False
Skin abrasion,25,0.31,0.31,0.209,0.461,34.76,False
Rubber sensitivity,6,0.309,0.309,0.138,0.695,8.39,False
Menopause,8,0.309,0.309,0.153,0.622,11.23,False
Hair colour changes,15,0.308,0.308,0.185,0.514,21.14,False
Livedo reticularis,4,0.307,0.307,0.114,0.827,5.68,False
Autonomic nervous system imbalance,8,0.307,0.307,0.152,0.619,11.36,False
Lupus-like syndrome,31,0.306,0.306,0.215,0.437,44.17,False
Petechiae,21,0.306,0.306,0.199,0.472,29.91,False
Hypervolaemia,42,0.306,0.306,0.225,0.415,60.08,False
Mood altered,55,0.306,0.306,0.234,0.399,78.76,False
Major depression,14,0.306,0.306,0.18,0.52,20.01,False
Ear swelling,7,0.305,0.305,0.144,0.646,10.03,False
Asthma,487,0.305,0.304,0.278,0.333,701.7,False
Blood potassium abnormal,11,0.305,0.305,0.168,0.555,15.78,False
Sunburn,11,0.303,0.303,0.167,0.55,16.03,False
Pneumonia influenzal,7,0.303,0.303,0.143,0.642,10.16,False
Hot flush,310,0.302,0.302,0.269,0.337,454.2,False
Dacryostenosis acquired,3,0.301,0.301,0.096,0.946,4.42,False
Renal disorder,104,0.301,0.301,0.248,0.366,153.09,False
Ingrowing nail,6,0.301,0.301,0.134,0.676,8.84,False
Immune system disorder,31,0.299,0.299,0.209,0.427,46.22,False
Glomerular filtration rate decreased,42,0.299,0.299,0.22,0.406,62.7,False
Breast cancer stage I,3,0.299,0.299,0.095,0.938,4.48,False
Thirst,46,0.299,0.299,0.224,0.401,68.45,False
Hiccups,20,0.297,0.296,0.19,0.462,30.32,False
Dry skin,326,0.295,0.294,0.264,0.328,500.15,False
Jaw disorder,6,0.294,0.294,0.131,0.661,9.22,False
Generalised oedema,31,0.294,0.294,0.206,0.42,47.63,False
Blood cholesterol increased,130,0.293,0.293,0.246,0.348,201.56,False
Spinal stenosis,23,0.293,0.293,0.194,0.443,35.64,False
Nasal discomfort,13,0.293,0.293,0.169,0.508,20.09,False
Arthropathy,149,0.292,0.292,0.248,0.343,232.75,False
Gastric cancer,13,0.291,0.291,0.168,0.504,20.41,False
Nasal disorder,6,0.291,0.291,0.13,0.653,9.42,False
Nerve injury,22,0.291,0.29,0.19,0.443,34.64,False
Pancreatic enzymes increased,3,0.29,0.29,0.092,0.91,4.74,False
Respiration abnormal,30,0.288,0.288,0.2,0.413,48.05,False
Stress fracture,8,0.288,0.288,0.143,0.581,12.77,False
Swelling face,136,0.287,0.287,0.242,0.34,218.28,False
Uterine cancer,7,0.287,0.287,0.136,0.607,11.26,False
Animal scratch,4,0.287,0.287,0.106,0.772,6.45,False
Urticaria,395,0.285,0.284,0.257,0.314,646.0,False
Osteopenia,27,0.285,0.285,0.195,0.418,43.96,False
Endometrial cancer,4,0.284,0.284,0.105,0.764,6.58,False
Graft versus host disease in skin,5,0.284,0.284,0.117,0.688,8.22,False
Pneumonitis,65,0.283,0.283,0.221,0.361,107.57,False
Blood glucose increased,251,0.282,0.282,0.249,0.32,416.19,False
Haemoptysis,60,0.282,0.282,0.218,0.364,99.67,False
Allergy to chemicals,6,0.28,0.28,0.125,0.628,10.13,False
Ventricular tachycardia,30,0.279,0.279,0.194,0.4,50.97,False
Throat tightness,50,0.279,0.279,0.211,0.369,84.78,False
Skin reaction,29,0.279,0.279,0.193,0.403,49.07,False
Excessive cerumen production,4,0.278,0.278,0.103,0.747,6.84,False
Mast cell activation syndrome,11,0.278,0.278,0.153,0.505,18.74,False
Injection site pruritus,128,0.278,0.278,0.234,0.331,217.76,False
Obsessive-compulsive disorder,10,0.276,0.276,0.148,0.517,17.23,False
Chondropathy,4,0.276,0.276,0.103,0.743,6.9,False
Drug eruption,41,0.276,0.276,0.203,0.376,70.76,False
Blood bilirubin increased,42,0.275,0.275,0.203,0.374,72.86,False
Necrosis,7,0.275,0.275,0.13,0.581,12.16,False
Drug hypersensitivity,320,0.275,0.275,0.246,0.307,555.32,False
Vasculitis,28,0.274,0.274,0.189,0.399,48.86,False
Large intestine perforation,13,0.273,0.273,0.157,0.472,22.95,False
Myelodysplastic syndrome,23,0.273,0.273,0.181,0.413,40.44,False
Hyperpyrexia,14,0.273,0.273,0.161,0.463,24.72,False
Necrotising fasciitis,7,0.271,0.271,0.128,0.573,12.49,False
Endocarditis,11,0.269,0.269,0.148,0.488,19.92,False
Disorientation,52,0.269,0.268,0.204,0.353,94.27,False
Photosensitivity reaction,31,0.269,0.269,0.188,0.383,56.14,False
Dysmenorrhoea,26,0.268,0.268,0.182,0.396,47.2,False
Impaired gastric emptying,96,0.268,0.268,0.219,0.328,174.54,False
Skin necrosis,8,0.268,0.268,0.133,0.54,14.53,False
Pancreatic neoplasm,3,0.268,0.268,0.085,0.841,5.46,False
Spinal column injury,6,0.268,0.268,0.119,0.602,10.91,False
Autoimmune haemolytic anaemia,9,0.267,0.267,0.138,0.517,16.43,False
Dry eye,159,0.267,0.267,0.228,0.313,290.43,False
Injection site discomfort,34,0.267,0.267,0.19,0.375,62.32,False
Skin hypertrophy,5,0.266,0.266,0.11,0.645,9.2,False
Product residue present,16,0.266,0.266,0.162,0.436,29.52,False
Pulmonary congestion,29,0.266,0.266,0.184,0.384,53.51,False
Blood pressure systolic abnormal,13,0.263,0.263,0.152,0.456,24.39,False
Alanine aminotransferase increased,97,0.262,0.262,0.214,0.32,183.86,False
Sports injury,3,0.261,0.261,0.083,0.818,5.72,False
Eye movement disorder,10,0.261,0.261,0.14,0.488,19.06,False
Vascular device infection,69,0.259,0.259,0.204,0.329,133.05,False
Tinnitus,93,0.259,0.259,0.211,0.318,179.26,False
Aortic dissection,4,0.257,0.257,0.096,0.692,7.82,False
Device leakage,189,0.256,0.256,0.221,0.295,372.68,False
Hyperaesthesia teeth,5,0.256,0.256,0.106,0.62,9.86,False
Dermatitis,55,0.255,0.255,0.196,0.333,108.73,False
Wheelchair user,10,0.255,0.255,0.136,0.476,19.85,False
Neuralgia,59,0.255,0.255,0.197,0.33,116.89,False
Pruritus,985,0.254,0.252,0.237,0.269,1972.53,False
Pharyngeal swelling,33,0.254,0.254,0.18,0.358,66.01,False
Injection site warmth,21,0.253,0.253,0.164,0.39,42.14,False
Respiratory disorder,73,0.253,0.253,0.201,0.319,146.48,False
Cyanosis,30,0.251,0.251,0.175,0.36,61.02,False
Meningioma benign,6,0.251,0.251,0.112,0.563,12.23,False
Meningitis viral,3,0.251,0.251,0.08,0.786,6.11,False
Emotional disorder,56,0.251,0.251,0.193,0.327,113.81,False
Sensory disturbance,17,0.248,0.248,0.153,0.4,35.45,False
Burns second degree,6,0.246,0.246,0.11,0.552,12.63,False
Bundle branch block left,4,0.246,0.246,0.092,0.662,8.42,False
Cardiovascular disorder,20,0.245,0.245,0.158,0.382,42.29,False
Speech disorder,79,0.245,0.245,0.196,0.306,167.79,False
Wound complication,8,0.245,0.245,0.122,0.493,16.97,False
Acute graft versus host disease in intestine,4,0.245,0.245,0.091,0.659,8.48,False
Pericardial effusion,49,0.244,0.244,0.184,0.324,104.59,False
Autoimmune disorder,48,0.244,0.244,0.183,0.325,102.41,False
Rheumatoid arthritis,243,0.243,0.243,0.214,0.276,521.31,False
Stiff person syndrome,3,0.243,0.243,0.078,0.762,6.45,False
Injection site urticaria,52,0.243,0.243,0.184,0.319,112.03,False
Hypertrophic cardiomyopathy,3,0.242,0.242,0.077,0.757,6.51,False
Wound dehiscence,5,0.242,0.242,0.1,0.585,10.86,False
Infusion site bruising,35,0.242,0.242,0.173,0.338,75.65,False
Injection site discharge,38,0.242,0.242,0.175,0.333,82.43,False
Injection site pain,683,0.241,0.24,0.222,0.258,1492.8,False
Spinal disorder,17,0.241,0.241,0.149,0.389,37.11,False
Parosmia,14,0.241,0.241,0.142,0.409,30.46,False
Erythema of eyelid,12,0.24,0.24,0.136,0.425,26.32,False
Peripheral venous disease,32,0.239,0.239,0.168,0.339,70.74,False
Pain in jaw,51,0.239,0.239,0.181,0.315,112.79,False
Heart valve incompetence,6,0.239,0.239,0.106,0.535,13.29,False
Fear,25,0.238,0.238,0.16,0.353,55.74,False
Antinuclear antibody positive,4,0.238,0.238,0.089,0.641,8.88,False
Eye disorder,63,0.236,0.236,0.184,0.303,141.71,False
Injection site haematoma,4,0.236,0.236,0.088,0.635,9.02,False
Contrast media allergy,6,0.235,0.235,0.105,0.527,13.63,False
Atrioventricular block complete,10,0.235,0.235,0.126,0.439,22.78,False
Therapeutic product effect delayed,13,0.235,0.235,0.136,0.406,29.62,False
Injury,99,0.235,0.234,0.192,0.286,225.67,False
Psychiatric decompensation,4,0.234,0.234,0.087,0.629,9.15,False
Angiopathy,9,0.234,0.234,0.121,0.452,20.61,False
Pneumatosis intestinalis,5,0.233,0.233,0.096,0.564,11.52,False
Hyperthermia,11,0.233,0.233,0.128,0.423,25.35,False
Foot deformity,26,0.233,0.233,0.158,0.344,59.85,False
Throat cancer,3,0.233,0.233,0.074,0.73,6.91,False
Pleural effusion,97,0.233,0.233,0.191,0.285,223.2,False
Synovitis,60,0.233,0.233,0.181,0.301,137.8,False
Bedridden,20,0.233,0.233,0.149,0.362,46.22,False
Injection site erythema,190,0.232,0.232,0.201,0.268,440.26,False
Neuromyelitis optica spectrum disorder,7,0.232,0.232,0.11,0.491,16.2,False
Back disorder,33,0.232,0.232,0.164,0.327,76.78,False
Septic shock,78,0.231,0.23,0.184,0.288,182.76,False
Chronic lymphocytic leukaemia,11,0.231,0.231,0.128,0.42,25.62,False
Lymphocyte count increased,9,0.23,0.23,0.119,0.444,21.21,False
Osteonecrosis,30,0.23,0.23,0.161,0.331,70.34,False
Carbon dioxide decreased,3,0.23,0.23,0.074,0.721,7.05,False
